GCODE,ESCROLL_CAT,GID,PENSION_TYPE,BRANCH_CODE,BRANCH_NAME,BRANCH_PIN,BRANCH_STATE,BIRTH_YEAR,SUBMITTED_STATUS,WAIVER_UPTO,SUBMISSION_MODE,VERIFICATION_TYPE,CERTIFICATE_SUBMISSION_DATE,PENSIONER_PINCODE,PENSIONER_DISTNAME,PENSIONER_STATENAME
CENTRAL,RAILWAY,RAILWAY_4,F,00241,CHITTARANJAN,713331,WEST BENGAL,1977,First_Year_Waiver,31-10-2025,,,,713331,Barddhaman,WEST BENGAL
STATE,STATE,ORISSA_11,F,00235,KAMAKHYANAGAR,759018,ODISHA,1948,SUBMITTED,,PLC,,06-02-2025,759026,Dhenkanal,ODISHA
STATE,STATE,ORISSA_7,F,00094,JAJPUR TOWN,755001,ODISHA,1954,SUBMITTED,,PLC,,11-02-2025,755014,Jajapur,ODISHA
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,ICAR_101,F,02582,MUKETSHWAR,263138,UTTARAKHAND,1935,SUBMITTED,,PLC,,10-04-2025,263138,Nainital,UTTARAKHAND
CENTRAL,RAILWAY,RAILWAY_13,F,01813,RISALDAR GALLI BRANCH BELAGAVI,590002,KARNATAKA,1961,First_Year_Waiver,31-10-2025,,,,591124,Belgaum,KARNATAKA
STATE,STATE,CHATTISGARH_1,F,17731,TIKARAPAR RAIPUR,492007,CHATTISGARH,1969,SUBMITTED,,PLC,,04-04-2025,492001,Raipur,CHHATTISGARH
CENTRAL,CPAO,CIVIL_2,F,01438,DOORAVANI NAGAR BENGALURU,560016,KARNATAKA,1944,First_Year_Waiver,31-10-2025,,,,560036,Bangalore,KARNATAKA
CENTRAL,CPAO,CIVIL_2,F,01438,DOORAVANI NAGAR BENGALURU,560016,KARNATAKA,1944,First_Year_Waiver,31-10-2025,,,,560036,Bangalore,KARNATAKA
STATE,STATE,PUNJAB_1,F,50386,CHALAILA,147001,PUNJAB,1977,SUBMITTED,,PLC,,12-03-2025,147001,Patiala,PUNJAB
STATE,STATE,HARYANA_8,F,11979,SME INDUSTRIAL AREA KARNAL,132001,HARYANA,1952,SUBMITTED,,PLC,,29-03-2025,132037,Karnal,HARYANA
STATE,STATE,PUNJAB_1,F,50024,PATRAN,147105,PUNJAB,1948,SUBMITTED,,PLC,,07-03-2025,147105,Patiala,PUNJAB
CENTRAL,CPAO,CIVIL_39,F,12202,NARNAUL,123001,HARYANA,1991,First_Year_Waiver,31-10-2025,,,,333036,Jhunjhunun,RAJASTHAN
STATE,STATE,BIHAR_1,F,06668,MAKHDUMPUR PHUHA,802163,BIHAR,1961,SUBMITTED,,PLC,,17-03-2025,802163,Bhojpur,BIHAR
STATE,STATE,ASSAM_1,F,00069,DHUBRI,783301,ASSAM,1968,SUBMITTED,,PLC,,30-04-2025,783324,Dhubri,ASSAM
STATE,STATE,CHATTISGARH_1,F,02835,BIJAPUR,494444,CHATTISGARH,1965,SUBMITTED,,PLC,,06-11-2024,494444,Bijapur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,03183,BACHELI,494553,CHATTISGARH,1988,SUBMITTED,,DLC,,14-11-2024,494553,Dakshin Bastar Dantewada,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,03183,BACHELI,494553,CHATTISGARH,1959,SUBMITTED,,PLC,,04-11-2024,494553,Dakshin Bastar Dantewada,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,03150,RAILWAY COLONY (BILASPUR),495001,CHATTISGARH,3001,SUBMITTED,,DLC,,12-11-2024,495004,Janjgir - Champa,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,04572,CHAMPA,495671,CHATTISGARH,1948,PENDING,,,,,495671,Janjgir - Champa,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,04571,COLLECTORATE (BILASPUR),495001,CHATTISGARH,1975,SUBMITTED,,PLC,,06-11-2024,495001,Bilaspur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,06663,PENDRA V B,495119,CHATTISGARH,1952,SUBMITTED,,PLC,,08-11-2024,495001,Bilaspur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,04571,COLLECTORATE (BILASPUR),495001,CHATTISGARH,1975,SUBMITTED,,PLC,,03-12-2024,495001,Bilaspur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,04572,CHAMPA,495671,CHATTISGARH,1960,SUBMITTED,,DLC,,12-11-2024,495671,Janjgir - Champa,CHHATTISGARH
CENTRAL,CPAO,CIVIL_2,F,18262,PROTHRAPUR,744105,ANDAMAN AND NICOBAR ISLANDS,1957,First_Year_Waiver,31-10-2025,,,,744103,South Andaman,ANDAMAN & NICOBAR ISLANDS
CENTRAL,CPAO,CIVIL_2,F,18262,PROTHRAPUR,744105,ANDAMAN AND NICOBAR ISLANDS,1957,First_Year_Waiver,31-10-2025,,,,744103,South Andaman,ANDAMAN & NICOBAR ISLANDS
STATE,STATE,ORISSA_11,F,04739,POLASARA,761105,ODISHA,1960,SUBMITTED,,PLC,,01-05-2025,761105,Ganjam,ODISHA
CENTRAL,CPAO,CIVIL_39,F,05914,ACB KHUTIKATIA,782002,ASSAM,1996,First_Year_Waiver,31-10-2025,,,,782002,Nagaon,ASSAM
STATE,STATE,ORISSA_11,F,06133,TALSARA,770074,ODISHA,1970,SUBMITTED,,PLC,,04-02-2025,770074,Sundargarh,ODISHA
STATE,STATE,CHATTISGARH_1,F,02832,BHANUPRATAPPUR,494669,CHATTISGARH,1976,SUBMITTED,,PLC,,27-02-2025,494669,Uttar Bastar Kanker,CHHATTISGARH
STATE,STATE,ASSAM_1,F,02048,DERGAON,785614,ASSAM,1980,SUBMITTED,,PLC,,08-04-2025,785614,Golaghat,ASSAM
CENTRAL,DEFENCE,DEFENCE_8,F,12833,AIT,285201,UTTAR PRADESH,1948,First_Year_Waiver,31-10-2025,,,,285201,Jalaun,UTTAR PRADESH
STATE,STATE,MADHYA_PRADESH_1,F,04615,CHANDAMETA,480447,MADHYA PRADESH,1960,SUBMITTED,,PLC,,07-04-2025,480447,Chhindwara,MADHYA PRADESH
STATE,STATE,MADHYA_PRADESH_1,F,00379,HARDA,461331,MADHYA PRADESH,1954,SUBMITTED,,PLC,,11-04-2025,461001,Hoshangabad,MADHYA PRADESH
STATE,STATE,ARUNACHAL_PRADESH_1,F,01396,ZIRO,791120,ARUNACHAL PRADESH,1959,SUBMITTED,,PLC,,29-04-2025,791120,Lower Subansiri,ARUNACHAL PRADESH
CENTRAL,CPAO,CIVIL_2,F,20061,HYDERABAD - MALKAPET,500024,TELANGANA,1940,First_Year_Waiver,31-10-2025,,,,500060,Hyderabad,TELANGANA
STATE,STATE,ASSAM_1,F,12974,GAURISAGAR,785664,ASSAM,1972,SUBMITTED,,PLC,,19-05-2025,785666,Sivasagar,ASSAM
STATE,STATE,MADHYA_PRADESH_1,F,00436,NARSINGHPUR,487001,MADHYA PRADESH,1973,SUBMITTED,,PLC,,03-06-2025,480224,Chhindwara,MADHYA PRADESH
CENTRAL,CPAO,CIVIL_2,F,19087,METRO STATION VIKAS MARG,110092,NCT OF DELHI,1950,First_Year_Waiver,31-10-2025,,,,110092,North East,NCT OF DELHI
CENTRAL,RAILWAY,RAILWAY_9,F,50683,ATELI MANDI NARNAUL,123021,HARYANA,1970,First_Year_Waiver,31-10-2025,,,,123021,Rewari,HARYANA
CENTRAL,DEFENCE,DEFENCE_8,F,21999,YESHWANT PLAZA KATRAP VILL,421503,MAHARASHTRA,1954,First_Year_Waiver,31-10-2025,,,,421501,Thane,MAHARASHTRA
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,06608,MEJHIA THERMAL POWER STATION,722183,WEST BENGAL,1973,First_Year_Waiver,31-10-2025,,,,713212,Barddhaman,WEST BENGAL
STATE,STATE,ORISSA_7,F,04856,KHAJURIAKATA,759020,ODISHA,1955,SUBMITTED,,PLC,,31-05-2025,759020,Dhenkanal,ODISHA
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,01882,NIT JAMSHEDPUR,831013,JHARKHAND,1953,First_Year_Waiver,31-10-2025,,,,831013,Saraikela-Kharsawan,JHARKHAND
STATE,STATE,CHATTISGARH_1,F,00542,JASHPUR NAGAR,496331,CHATTISGARH,1969,SUBMITTED,,PLC,,06-11-2024,496331,Jashpur,CHHATTISGARH
CENTRAL,RAILWAY,RAILWAY_3,F,02071,JATNI,752050,ODISHA,1970,First_Year_Waiver,31-10-2025,,,,752050,Khordha,ODISHA
STATE,STATE,JHARKHAND_1,F,00173,SAHIBGANJ,816109,JHARKHAND,1984,SUBMITTED,,PLC,,31-01-2025,816109,Sahibganj,JHARKHAND
STATE,STATE,ORISSA_7,F,02031,BOUDH,762014,ODISHA,1960,SUBMITTED,,PLC,,04-02-2025,762014,Baudh,ODISHA
CENTRAL,RAILWAY,RAILWAY_10,F,01326,DHARAMGARH,766015,ODISHA,1955,First_Year_Waiver,31-10-2025,,,,766029,Kalahandi,ODISHA
CENTRAL,RAILWAY,RAILWAY_10,F,01326,DHARAMGARH,766015,ODISHA,1955,First_Year_Waiver,31-10-2025,,,,766029,Kalahandi,ODISHA
STATE,STATE,ORISSA_7,F,01090,GUNUPUR,765022,ODISHA,1962,SUBMITTED,,PLC,,17-04-2025,765022,Rayagada,ODISHA
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,06152,CITY CENTRE DURGAPUR,713216,WEST BENGAL,1988,First_Year_Waiver,31-10-2025,,,,713207,Barddhaman,WEST BENGAL
STATE AUTONOMOUS BODIES,AUTONOMOUS,DVB_ETBF_1,F,04281,RAJGHAT POWER HOUSE,110002,NCT OF DELHI,1950,SUBMITTED,,PLC,,08-05-2025,,,
CENTRAL,RAILWAY,RAILWAY_12,F,06420,AMARDA ROAD,756030,ODISHA,1952,First_Year_Waiver,31-10-2025,,,,756030,Baleshwar,ODISHA
STATE,STATE,CHATTISGARH_1,F,07939,COLLECTORATE RAJNANDGAON,491441,CHATTISGARH,1953,SUBMITTED,,VLC,,03-12-2024,495555,Bilaspur,CHHATTISGARH
CENTRAL,CPAO,CIVIL_2,F,03401,GANGA SHAHR ROAD (BIKANER),334001,RAJASTHAN,1972,First_Year_Waiver,31-10-2025,,,,334001,Bikaner,RAJASTHAN
CENTRAL,CPAO,CIVIL_39,F,10307,BOKAKHAT,785612,ASSAM,1981,First_Year_Waiver,31-10-2025,,,,785619,Golaghat,ASSAM
CENTRAL,CPAO,CIVIL_2,F,01513,PATLIPUTRA (PATNA),800013,BIHAR,1985,First_Year_Waiver,31-10-2025,,,,802301,Patna,BIHAR
CENTRAL,RAILWAY,RAILWAY_14,F,70393,THRIKKADAVOOR,691601,KERALA,1958,SUBMITTED,,PLC,,25-02-2025,691601,Kollam,KERALA
CENTRAL,RAILWAY,RAILWAY_14,F,70393,THRIKKADAVOOR,691601,KERALA,1958,SUBMITTED,,PLC,,25-02-2025,691601,Kollam,KERALA
CENTRAL,CPAO,CIVIL_2,F,08123,PATHARKATTI,823311,BIHAR,1985,First_Year_Waiver,31-10-2025,,,,823311,Gaya,BIHAR
CENTRAL,CPAO,CIVIL_39,F,16335,HMT AREA BENGALURU,560013,KARNATAKA,1989,First_Year_Waiver,31-10-2025,,,,560097,Bangalore,KARNATAKA
CENTRAL,CPAO,CIVIL_2,F,00625,CENTRAL SECRETARIAT,110001,NCT OF DELHI,1986,First_Year_Waiver,31-10-2025,,,,110065,South,NCT OF DELHI
STATE,STATE,JHARKHAND_1,F,00167,RANCHI,834001,JHARKHAND,1980,SUBMITTED,,PLC,,19-05-2025,835231,Gumla,JHARKHAND
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,03329,NAT MET LAB (JAMSHEDPUR),831007,JHARKHAND,1962,First_Year_Waiver,31-10-2025,,,,831003,Purbi Singhbhum,JHARKHAND
STATE,STATE,PUNJAB_1,F,50071,GORAYA,144409,PUNJAB,1952,SUBMITTED,,PLC,,30-01-2025,144418,Jalandhar,PUNJAB
STATE,STATE,ORISSA_7,F,03941,LOISINGA,767020,ODISHA,1963,SUBMITTED,,PLC,,05-03-2025,767020,Balangir,ODISHA
CENTRAL,CPAO,CIVIL_2,F,16635,GOLF GREEN,700095,WEST BENGAL,1966,First_Year_Waiver,31-10-2025,,,,781011,Kamrup Metropolitan,ASSAM
CENTRAL,RAILWAY,RAILWAY_1,F,60244,M G ROAD BRANCH KANDIVALI (W) MUMBAI.,400067,MAHARASHTRA,1976,First_Year_Waiver,31-10-2025,,,,400067,Mumbai Suburban,MAHARASHTRA
STATE,STATE,BIHAR_16,F,03115,RAJBANSHINAGAR (PATNA),800023,BIHAR,1948,SUBMITTED,,PLC,,25-04-2025,800023,Patna,BIHAR
CENTRAL,CPAO,CIVIL_2,F,07182,NAP TSC BULLANDSHAHR,203389,UTTAR PRADESH,1981,First_Year_Waiver,31-10-2025,,,,203389,Bulandshahr,UTTAR PRADESH
STATE,STATE,CHATTISGARH_10,S,30395,LAHAR ROAD BHIND,477001,MADHYA PRADESH,2002,SUBMITTED,,PLC,,07-04-2025,474006,Gwalior,MADHYA PRADESH
STATE,STATE,CHATTISGARH_10,S,30395,LAHAR ROAD BHIND,477001,MADHYA PRADESH,1975,SUBMITTED,,PLC,,07-11-2024,477333,Bhind,MADHYA PRADESH
STATE,STATE,CHATTISGARH_10,S,30395,LAHAR ROAD BHIND,477001,MADHYA PRADESH,1997,PENDING,,,,,474006,Gwalior,MADHYA PRADESH
CENTRAL,RAILWAY,RAILWAY_9,F,04315,MALIHABAD,226102,UTTAR PRADESH,1971,First_Year_Waiver,31-10-2025,,,,226102,Lucknow,UTTAR PRADESH
STATE,STATE,CHATTISGARH_1,F,01048,BALODA BAZAR,493332,CHATTISGARH,1971,SUBMITTED,,PLC,,24-02-2025,493332,Raipur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00370,DURG MAIN BRANCH,491001,CHATTISGARH,1937,SUBMITTED,,PLC,,21-02-2025,,,
STATE,STATE,ASSAM_1,F,03883,RANGAPARA,784505,ASSAM,1947,SUBMITTED,,PLC,,24-02-2025,784505,Sonitpur,ASSAM
STATE,STATE,MADHYA_PRADESH_1,F,30395,LAHAR ROAD BHIND,477001,MADHYA PRADESH,1976,SUBMITTED,,PLC,,27-02-2025,474011,Gwalior,MADHYA PRADESH
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,17428,LAKSHMIPUR DEOGHAR,814117,JHARKHAND,1954,First_Year_Waiver,31-10-2025,,,,814112,Deoghar,JHARKHAND
STATE AUTONOMOUS BODIES,AUTONOMOUS,LUVAS_1,F,01566,HARYANA AGRI UNIV HISSAR,125004,HARYANA,1972,SUBMITTED,,PLC,,22-01-2025,222201,Jaunpur,UTTAR PRADESH
STATE,STATE,JHARKHAND_1,F,00167,RANCHI,834001,JHARKHAND,1966,SUBMITTED,,PLC,,30-01-2025,834001,Ranchi,JHARKHAND
STATE,STATE,BIHAR_1,F,03010,SUPAUL BAZAR,847203,BIHAR,1950,SUBMITTED,,PLC,,18-02-2025,847203,Darbhanga,BIHAR
STATE,STATE,ASSAM_1,F,00183,SILCHAR,788001,ASSAM,1969,SUBMITTED,,PLC,,07-04-2025,788025,Cachar,ASSAM
CENTRAL,CPAO,CIVIL_2,F,50861,VALSAD,396001,GUJARAT,1973,First_Year_Waiver,31-10-2025,,,,396125,Valsad,GUJARAT
CENTRAL,CPAO,CIVIL_2,F,01146,SALEMPUR,274509,UTTAR PRADESH,1954,SUBMITTED,,PLC,,09-01-2025,274501,Deoria,UTTAR PRADESH
CENTRAL,CPAO,CIVIL_2,F,02027,BOLPUR,731204,WEST BENGAL,1977,First_Year_Waiver,31-10-2025,,,,731204,Birbhum,WEST BENGAL
STATE,STATE,MADHYA_PRADESH_1,F,02854,HARPALPUR,471111,MADHYA PRADESH,1966,SUBMITTED,,PLC,,24-04-2025,471111,Chhatarpur,MADHYA PRADESH
STATE,STATE,CHATTISGARH_1,F,00370,DURG MAIN BRANCH,491001,CHATTISGARH,1947,SUBMITTED,,PLC,,25-03-2025,,,
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,08194,CHAKTENTUL,713420,WEST BENGAL,1952,First_Year_Waiver,31-10-2025,,,,713420,Barddhaman,WEST BENGAL
STATE,STATE,MADHYA_PRADESH_1,F,30045,JAWAHAR MARG MANAWAR,454446,MADHYA PRADESH,1951,SUBMITTED,,PLC,,28-05-2025,454446,Dhar,MADHYA PRADESH
STATE,STATE,CHATTISGARH_1,F,00310,AMBIKAPUR,497001,CHATTISGARH,1950,SUBMITTED,,PLC,,07-11-2024,497001,Surguja,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00310,AMBIKAPUR,497001,CHATTISGARH,1966,SUBMITTED,,PLC,,18-11-2024,497001,Surguja,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00310,AMBIKAPUR,497001,CHATTISGARH,1968,SUBMITTED,,PLC,,02-12-2024,497001,Surguja,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00310,AMBIKAPUR,497001,CHATTISGARH,1975,SUBMITTED,,PLC,,18-11-2024,496224,Jashpur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00310,AMBIKAPUR,497001,CHATTISGARH,1956,SUBMITTED,,PLC,,08-11-2024,835207,Gumla,JHARKHAND
STATE,STATE,CHATTISGARH_1,F,00310,AMBIKAPUR,497001,CHATTISGARH,3001,SUBMITTED,,PLC,,12-11-2024,497001,Surguja,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00310,AMBIKAPUR,497001,CHATTISGARH,1965,SUBMITTED,,PLC,,27-11-2024,497001,Surguja,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00310,AMBIKAPUR,497001,CHATTISGARH,1960,SUBMITTED,,PLC,,26-11-2024,497001,Surguja,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00310,AMBIKAPUR,497001,CHATTISGARH,1970,PENDING,,,,,497001,Surguja,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00401,KANKER,494334,CHATTISGARH,1950,SUBMITTED,,PLC,,31-12-2024,494334,Uttar Bastar Kanker,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,13108,NARHARPUR,494333,CHATTISGARH,1951,SUBMITTED,,PLC,,21-01-2025,494333,Uttar Bastar Kanker,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00401,KANKER,494334,CHATTISGARH,1970,SUBMITTED,,PLC,,08-11-2024,494334,Uttar Bastar Kanker,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00401,KANKER,494334,CHATTISGARH,1958,PENDING,,,,,494333,Uttar Bastar Kanker,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00406,KAWARDHA,491995,CHATTISGARH,1959,SUBMITTED,,PLC,,26-11-2024,491995,Kabeerdham,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00401,KANKER,494334,CHATTISGARH,1970,SUBMITTED,,PLC,,04-11-2024,494552,Dakshin Bastar Dantewada,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00401,KANKER,494334,CHATTISGARH,3001,SUBMITTED,,PLC,,25-02-2025,494334,Uttar Bastar Kanker,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00406,KAWARDHA,491995,CHATTISGARH,3001,SUBMITTED,,PLC,,06-11-2024,491995,Kabeerdham,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00406,KAWARDHA,491995,CHATTISGARH,1960,SUBMITTED,,DLC,,14-11-2024,491995,Kabeerdham,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00406,KAWARDHA,491995,CHATTISGARH,1960,SUBMITTED,,DLC,,14-11-2024,491995,Kabeerdham,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,03758,DONDILOHARA,491771,CHATTISGARH,3001,SUBMITTED,,PLC,,07-11-2024,491771,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,05492,BHAIRAMGARH,494444,CHATTISGARH,1965,SUBMITTED,,PLC,,26-11-2024,494450,Bijapur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,18092,GURUR,491227,CHATTISGARH,1981,SUBMITTED,,PLC,,22-11-2024,491227,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,05515,PUSSORE,496440,CHATTISGARH,1960,SUBMITTED,,PLC,,12-11-2024,496440,Raigarh,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,09519,BAITHALPUR,495224,CHATTISGARH,1956,SUBMITTED,,PLC,,13-11-2024,495224,Bilaspur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,06167,BANDE,494777,CHATTISGARH,1966,SUBMITTED,,PLC,,08-11-2024,494777,Uttar Bastar Kanker,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,12288,PBB RAIGARH,496001,CHATTISGARH,1979,SUBMITTED,,PLC,,05-11-2024,496001,Raigarh,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,01182,DHARAMJAIGARH,496116,CHATTISGARH,1951,SUBMITTED,,PLC,,09-12-2024,496116,Raigarh,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,12127,MASTURI DISTT-BILASPUR,495551,CHATTISGARH,1958,SUBMITTED,,PLC,,08-11-2024,495551,Bilaspur,CHHATTISGARH
CENTRAL,RAILWAY,RAILWAY_16,F,30202,IND.ESTATE RATLAM,457002,MADHYA PRADESH,1970,First_Year_Waiver,31-10-2025,,,,457001,Ratlam,MADHYA PRADESH
CENTRAL,CPAO,CIVIL_39,F,20566,ASWAPURAM,507116,TELANGANA,1971,First_Year_Waiver,31-10-2025,,,,507116,KHAMMAM,TELANGANA
STATE,STATE,WEST_BENGAL_1,F,02016,PARNASHREE (KOLKATA),700060,WEST BENGAL,1953,SUBMITTED,,PLC,,04-02-2025,700060,Kolkata,WEST BENGAL
STATE,STATE,ORISSA_11,F,02014,BASUDEVPUR,756125,ODISHA,1971,SUBMITTED,,PLC,,14-05-2025,756124,Bhadrak,ODISHA
CENTRAL,RAILWAY,RAILWAY_13,F,40061,VIDYARANYAPURAM MYSURU,570008,KARNATAKA,1944,SUBMITTED,,PLC,,03-06-2025,570008,Mysore,KARNATAKA
STATE,STATE,PUNJAB_1,F,09301,SECTOR-41 (CHANDIGARH),160036,CHANDIGARH,1978,SUBMITTED,,PLC,,20-05-2025,160036,Chandigarh,CHANDIGARH
CENTRAL,DEFENCE,DEFENCE_6,F,10100,RAMANTHAPUR,500007,TELANGANA,1986,First_Year_Waiver,31-10-2025,,,,500013,Hyderabad,TELANGANA
CENTRAL,DEFENCE,DEFENCE_8,F,70329,MALLASSERY,689646,KERALA,1952,First_Year_Waiver,31-10-2025,,,,689646,Pathanamthitta,KERALA
CENTRAL,RAILWAY,RAILWAY_16,F,50861,VALSAD,396001,GUJARAT,1959,SUBMITTED,,PLC,,28-03-2025,396001,Valsad,GUJARAT
CENTRAL,RAILWAY,RAILWAY_4,F,00222,BANKI,754008,ODISHA,1952,First_Year_Waiver,31-10-2025,,,,754008,Cuttack,ODISHA
STATE AUTONOMOUS BODIES,AUTONOMOUS,MPUAD_1,F,30166,BARODA,476339,MADHYA PRADESH,1958,SUBMITTED,,PLC,,24-01-2025,324005,Kota,RAJASTHAN
STATE,STATE,MADHYA_PRADESH_1,F,01507,MILLONIGANJ (JABALPUR),482002,MADHYA PRADESH,1970,SUBMITTED,,PLC,,07-02-2025,482001,Jabalpur,MADHYA PRADESH
STATE,STATE,JHARKHAND_1,F,06351,AGRI MKT YARD NARSANDA,822101,JHARKHAND,1955,SUBMITTED,,PLC,,15-04-2025,822102,Palamu,JHARKHAND
STATE,STATE,JHARKHAND_1,F,06351,AGRI MKT YARD NARSANDA,822101,JHARKHAND,1955,SUBMITTED,,PLC,,15-04-2025,822102,Palamu,JHARKHAND
CENTRAL,CPAO,CIVIL_2,F,01543,BANGA,144505,PUNJAB,1953,SUBMITTED,,PLC,,13-05-2025,144511,Shahid Bhagat Singh Nagar,PUNJAB
STATE,STATE,GOA_1,F,00512,MARGAON GOA,403601,GOA,1955,SUBMITTED,,PLC,,15-05-2025,403703,South Goa,GOA
STATE,STATE,ORISSA_7,F,04854,DEOGARH,768108,ODISHA,1956,SUBMITTED,,PLC,,14-05-2025,768108,Debagarh,ODISHA
STATE,STATE,TRIPURA_1,F,32627,SBI CHANDRAPUR,799007,TRIPURA,1981,SUBMITTED,,PLC,,30-05-2025,799007,West Tripura,TRIPURA
STATE AUTONOMOUS BODIES,AUTONOMOUS,DVB_ETBF_1,F,01419,NAJAFGARH MAIN,110043,NCT OF DELHI,1979,PENDING,,,,,110043,South West,NCT OF DELHI
STATE,STATE,CHATTISGARH_1,F,05492,BHAIRAMGARH,494444,CHATTISGARH,1977,SUBMITTED,,PLC,,10-03-2025,494444,Bijapur,CHHATTISGARH
STATE,STATE,ORISSA_7,F,00121,KORAPUT,764020,ODISHA,1953,SUBMITTED,,PLC,,13-02-2025,764028,Koraput,ODISHA
CENTRAL,CPAO,CIVIL_2,F,05940,GANJ AREA (CHHINDWARA),480002,MADHYA PRADESH,1983,First_Year_Waiver,31-10-2025,,,,462045,Bhopal,MADHYA PRADESH
CENTRAL,RAILWAY,RAILWAY_4,F,01487,KANCHRAPARA,743145,WEST BENGAL,1965,First_Year_Waiver,31-10-2025,,,,743145,North Twenty Four Parganas,WEST BENGAL
STATE,STATE,ORISSA_7,F,06408,BAPUJINAGAR,751009,ODISHA,1950,SUBMITTED,,PLC,,18-02-2025,751014,Khordha,ODISHA
CENTRAL,RAILWAY,RAILWAY_1,F,00418,MALEGAON (NASIK DIST.),423203,MAHARASHTRA,1972,First_Year_Waiver,31-10-2025,,,,423203,Nashik,MAHARASHTRA
CENTRAL,CPAO,CIVIL_2,F,00056,CHINSURAH,712101,WEST BENGAL,1984,First_Year_Waiver,31-10-2025,,,,712102,Hugli,WEST BENGAL
STATE,STATE,KARNATAKA_29,F,40114,MOLAKALMURU,577535,KARNATAKA,1956,SUBMITTED,,PLC,,28-03-2025,577546,Chitradurga,KARNATAKA
CENTRAL,CPAO,CIVIL_2,F,08936,DANDI CHATTI,275305,UTTAR PRADESH,1948,SUBMITTED,,PLC,,11-04-2025,275102,Mau,UTTAR PRADESH
CENTRAL,CPAO,CIVIL_2,F,01644,LALGANJ (RAE BARELI DIST.),229206,UTTAR PRADESH,1962,First_Year_Waiver,31-10-2025,,,,229201,Rae Bareli,UTTAR PRADESH
CENTRAL,RAILWAY,RAILWAY_12,F,10221,DRM OFFICE ADRA DISTPURULIA,723121,WEST BENGAL,1975,First_Year_Waiver,31-10-2025,,,,723121,Puruliya,WEST BENGAL
CENTRAL,CPAO,CIVIL_2,F,07957,A G O COMPLEX RANCHI,834002,JHARKHAND,1959,First_Year_Waiver,31-10-2025,,,,834010,Ranchi,JHARKHAND
CENTRAL,CPAO,CIVIL_2,F,07957,A G O COMPLEX RANCHI,834002,JHARKHAND,1959,First_Year_Waiver,31-10-2025,,,,834010,Ranchi,JHARKHAND
STATE,STATE,JHARKHAND_1,F,08472,CHANDSAR,814154,JHARKHAND,1977,SUBMITTED,,PLC,,07-04-2025,814154,Godda,JHARKHAND
STATE,STATE,CHATTISGARH_1,F,00540,KORBA,495677,CHATTISGARH,1970,SUBMITTED,,PLC,,05-03-2025,,,
STATE,STATE,MADHYA_PRADESH_1,F,10855,MAKRONIA SAGAR,470004,MADHYA PRADESH,1983,SUBMITTED,,PLC,,19-03-2025,470004,Sagar,MADHYA PRADESH
